epsilon,m,p_formula,p_numeric,p_block_diag,abs_error
0.5975,0.5,1.0,1.0,0.5,0.0
0.6,0.5,1.0,1.0,0.5,0.0
0.6025,0.5,1.0,1.0,0.5,0.0
0.605,0.5,1.0,1.0,0.5,0.0
0.6075,0.5,1.0,1.0,0.5,0.0
0.61,0.5,1.0,1.0,0.5,0.0
0.6125,0.5,1.0,1.0,0.5,0.0
0.615,0.5,1.0,1.0,0.5,0.0
0.6175,0.5,1.0,1.0,0.5,0.0
0.62,0.5,1.0,1.0,0.5,0.0
0.6225,0.5,1.0,1.0,0.5,0.0
0.625,0.5,1.0,1.0,0.5,0.0
0.6275000000000001,0.5,1.0,1.0,0.5,0.0
0.63,0.5,1.0,1.0,0.5,0.0
0.6325000000000001,0.5,1.0,1.0,0.5,0.0
0.635,0.5,1.0,1.0,0.5,0.0
0.6375000000000001,0.5,1.0,1.0,0.5,0.0
0.64,0.5,1.0,1.0,0.5,0.0
0.6425,0.5,1.0,1.0,0.5,0.0
0.645,0.5,1.0,1.0,0.5,0.0
0.6475,0.5,1.0,1.0,0.5,0.0
0.65,0.5,1.0,1.0,0.5,0.0
0.6525,0.5,1.0,1.0,0.5,0.0
0.655,0.5,1.0,1.0,0.5,0.0
0.6575,0.5,1.0,1.0,0.5,0.0
0.66,0.5,1.0,1.0,0.5,0.0
0.6625,0.5,1.0,1.0,0.5,0.0
0.665,0.5,1.0,1.0,0.5,0.0
0.6675,0.5,1.0,1.0,0.5,0.0
0.67,0.5,1.0,1.0,0.5,0.0
0.6725,0.5,1.0,1.0,0.5,0.0
0.675,0.5,1.0,1.0,0.5,0.0
0.6775,0.5,1.0,1.0,0.5,0.0
0.68,0.5,1.0,1.0,0.5,0.0
0.6825,0.5,1.0,1.0,0.5,0.0
0.685,0.5,1.0,1.0,0.5,0.0
0.6875,0.5,1.0,1.0,0.5,0.0
0.6900000000000001,0.5,1.0,1.0,0.5,0.0
0.6925,0.5,1.0,1.0,0.5,0.0
0.6950000000000001,0.5,1.0,1.0,0.5,0.0
0.6975,0.5,1.0,1.0,0.5,0.0
0.7000000000000001,0.5,1.0,1.0,0.5,0.0
0.7025,0.5,1.0,1.0,0.5,0.0
0.705,0.5,1.0,1.0,0.5,0.0
0.7075,0.5,1.0,1.0,0.5,0.0
0.71,0.5,1.0,1.0,0.5,0.0
0.7125,0.5,1.0,1.0,0.5,0.0
0.715,0.5,1.0,1.0,0.5,0.0
0.7175,0.5,1.0,1.0,0.5,0.0
0.72,0.5,1.0,1.0,0.5,0.0
0.7225,0.5,1.0,1.0,0.5,0.0
0.725,0.5,1.0,1.0,0.5,0.0
0.7275,0.5,1.0,1.0,0.5,0.0
0.73,0.5,1.0,1.0,0.5,0.0
0.7325,0.5,1.0,1.0,0.5,0.0
0.735,0.5,1.0,1.0,0.5,0.0
0.7375,0.5,1.0,1.0,0.5,0.0
0.74,0.5,1.0,1.0,0.5,0.0
0.7425,0.5,1.0,1.0,0.5,0.0
0.745,0.5,1.0,1.0,0.5,0.0
0.7475,0.5,1.0,1.0,0.5,0.0
0.75,0.5,1.0,1.0,0.5,0.0
0.7525000000000001,0.5,1.0,1.0,0.5,0.0
0.755,0.5,1.0,1.0,0.5,0.0
0.7575000000000001,0.5,1.0,1.0,0.5,0.0
0.76,0.5,1.0,1.0,0.5,0.0
0.7625000000000001,0.5,1.0,1.0,0.5,0.0
0.765,0.5,1.0,1.0,0.5,0.0
0.7675000000000001,0.5,1.0,1.0,0.5,0.0
0.77,0.5,1.0,1.0,0.5,0.0
0.7725,0.5,1.0,1.0,0.5,0.0
0.775,0.5,1.0,1.0,0.5,0.0
0.7775,0.5,1.0,1.0,0.5,0.0
0.78,0.5,1.0,1.0,0.5,0.0
0.7825,0.5,1.0,1.0,0.5,0.0
0.785,0.5,1.0,1.0,0.5,0.0
0.7875,0.5,1.0,1.0,0.5,0.0
0.79,0.5,1.0,1.0,0.5,0.0
0.7925,0.5,1.0,1.0,0.5,0.0
0.795,0.5,1.0,1.0,0.5,0.0
0.7975,0.5,1.0,1.0,0.5,0.0
0.8,0.5,1.0,1.0,0.5,0.0
0.8025,0.5,1.0,1.0,0.5,0.0
0.805,0.5,1.0,1.0,0.5,0.0
0.8075,0.5,1.0,1.0,0.5,0.0
0.81,0.5,1.0,1.0,0.5,0.0
0.8125,0.5,1.0,1.0,0.5,0.0
0.8150000000000001,0.5,1.0,1.0,0.5,0.0
0.8175,0.5,1.0,1.0,0.5,0.0
0.8200000000000001,0.5,1.0,1.0,0.5,0.0
0.8225,0.5,1.0,1.0,0.5,0.0
0.8250000000000001,0.5,1.0,1.0,0.5,0.0
0.8275,0.5,1.0,1.0,0.5,0.0
0.8300000000000001,0.5,1.0,1.0,0.5,0.0
0.8325,0.5,1.0,1.0,0.5,0.0
0.835,0.5,1.0,1.0,0.5,0.0
0.8375,0.5,1.0,1.0,0.5,0.0
0.84,0.5,1.0,1.0,0.5,0.0
0.8425,0.5,1.0,1.0,0.5,0.0
0.845,0.5,1.0,1.0,0.5,0.0
0.8475,0.5,1.0,1.0,0.5,0.0
0.85,0.5,1.0,1.0,0.5,0.0
0.8525,0.5,1.0,1.0,0.5,0.0
0.855,0.5,1.0,1.0,0.5,0.0
0.8575,0.5,1.0,1.0,0.5,0.0
0.86,0.5,1.0,1.0,0.5,0.0
0.8625,0.5,1.0,1.0,0.5,0.0
0.865,0.5,1.0,1.0,0.5,0.0
0.8675,0.5,1.0,1.0,0.5,0.0
0.87,0.5,1.0,1.0,0.5,0.0
0.8725,0.5,1.0,1.0,0.5,0.0
0.875,0.5,1.0,1.0,0.5,0.0
0.8775000000000001,0.5,1.0,1.0,0.5,0.0
0.88,0.5,1.0,1.0,0.5,0.0
0.8825000000000001,0.5,1.0,1.0,0.5,0.0
0.885,0.5,1.0,1.0,0.5,0.0
0.8875000000000001,0.5,1.0,1.0,0.5,0.0
0.89,0.5,1.0,1.0,0.5,0.0
0.8925000000000001,0.5,1.0,1.0,0.5,0.0
0.895,0.5,1.0,1.0,0.5,0.0
0.8975,0.5,1.0,1.0,0.5,0.0
0.9,0.5,1.0,1.0,0.5,0.0
0.9025,0.5,1.0,1.0,0.5,0.0
0.905,0.5,1.0,1.0,0.5,0.0
0.9075,0.5,1.0,1.0,0.5,0.0
0.91,0.5,1.0,1.0,0.5,0.0
0.9125,0.5,1.0,1.0,0.5,0.0
0.915,0.5,1.0,1.0,0.5,0.0
0.9175,0.5,1.0,1.0,0.5,0.0
0.92,0.5,1.0,1.0,0.5,0.0
0.9225,0.5,1.0,1.0,0.5,0.0
0.925,0.5,1.0,1.0,0.5,0.0
0.9275,0.5,1.0,1.0,0.5,0.0
0.93,0.5,1.0,1.0,0.5,0.0
0.9325,0.5,1.0,1.0,0.5,0.0
0.935,0.5,1.0,1.0,0.5,0.0
0.9375,0.5,1.0,1.0,0.5,0.0
0.9400000000000001,0.5,1.0,1.0,0.5,0.0
0.9425,0.5,1.0,1.0,0.5,0.0
0.9450000000000001,0.5,1.0,1.0,0.5,0.0
0.9475,0.5,1.0,1.0,0.5,0.0
0.9500000000000001,0.5,1.0,1.0,0.5,0.0
0.9525,0.5,1.0,1.0,0.5,0.0
0.9550000000000001,0.5,1.0,1.0,0.5,0.0
0.9575,0.5,1.0,1.0,0.5,0.0
0.96,0.5,1.0,1.0,0.5,0.0
0.9625,0.5,1.0,1.0,0.5,0.0
0.965,0.5,1.0,1.0,0.5,0.0
0.9675,0.5,1.0,1.0,0.5,0.0
0.97,0.5,1.0,1.0,0.5,0.0
0.9725,0.5,1.0,1.0,0.5,0.0
0.975,0.5,1.0,1.0,0.5,0.0
0.9775,0.5,1.0,1.0,0.5,0.0
0.98,0.5,1.0,1.0,0.5,0.0
0.9825,0.5,1.0,1.0,0.5,0.0
0.985,0.5,1.0,1.0,0.5,0.0
0.9875,0.5,1.0,1.0,0.5,0.0
0.99,0.5,1.0,1.0,0.5,0.0
0.9925,0.5,1.0,1.0,0.5,0.0
0.995,0.5,1.0,1.0,0.5,0.0
0.9975,0.5,1.0,1.0,0.5,0.0
1.0,0.5,1.0,1.0,0.5,0.0
